"filename", "language", "PHP", "HTML", "Markdown", "JSON", "comment", "blank", "total"
"c:\xampp\htdocs\codei4\system\database\drivers\sqlite\sqlite_driver.php", "PHP", 105, 0, 0, 0, 181, 45, 331
"c:\xampp\htdocs\codei4\system\database\drivers\sqlite\sqlite_forge.php", "PHP", 67, 0, 0, 0, 117, 22, 206
"c:\xampp\htdocs\codei4\system\database\drivers\sqlite\sqlite_result.php", "PHP", 47, 0, 0, 0, 100, 18, 165
"c:\xampp\htdocs\codei4\system\database\drivers\sqlite\sqlite_utility.php", "PHP", 8, 0, 0, 0, 50, 4, 62
"c:\xampp\htdocs\codei4\system\database\drivers\sqlsrv\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\database\drivers\sqlsrv\sqlsrv_driver.php", "PHP", 223, 0, 0, 0, 246, 75, 544
"c:\xampp\htdocs\codei4\system\database\drivers\sqlsrv\sqlsrv_forge.php", "PHP", 51, 0, 0, 0, 84, 15, 150
"c:\xampp\htdocs\codei4\system\database\drivers\sqlsrv\sqlsrv_result.php", "PHP", 61, 0, 0, 0, 109, 24, 194
"c:\xampp\htdocs\codei4\system\database\drivers\sqlsrv\sqlsrv_utility.php", "PHP", 10, 0, 0, 0, 61, 7, 78
"c:\xampp\htdocs\codei4\system\database\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\fonts\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
"c:\xampp\htdocs\codei4\system\helpers\array_helper.php", "PHP", 29, 0, 0, 0, 76, 11, 116
"c:\xampp\htdocs\codei4\system\helpers\captcha_helper.php", "PHP", 204, 0, 0, 0, 101, 37, 342
"c:\xampp\htdocs\codei4\system\helpers\cookie_helper.php", "PHP", 25, 0, 0, 0, 81, 8, 114
"c:\xampp\htdocs\codei4\system\helpers\date_helper.php", "PHP", 412, 0, 0, 0, 230, 101, 743
"c:\xampp\htdocs\codei4\system\helpers\directory_helper.php", "PHP", 33, 0, 0, 0, 60, 9, 102
"c:\xampp\htdocs\codei4\system\helpers\download_helper.php", "PHP", 70, 0, 0, 0, 72, 17, 159
"c:\xampp\htdocs\codei4\system\helpers\email_helper.php", "PHP", 16, 0, 0, 0, 63, 6, 85
"c:\xampp\htdocs\codei4\system\helpers\file_helper.php", "PHP", 243, 0, 0, 0, 162, 49, 454
"c:\xampp\htdocs\codei4\system\helpers\form_helper.php", "PHP", 570, 0, 0, 0, 345, 141, 1056
"c:\xampp\htdocs\codei4\system\helpers\html_helper.php", "PHP", 202, 0, 0, 0, 162, 47, 411
"c:\xampp\htdocs\codei4\system\helpers\index.html", "HTML", 0, 9, 0, 0, 0, 3, 12
